ID,LAND_NR,Partei_NR,Partei_ABK,Name,Titel,Vorname,Nachname,Jahrgang,Geschlecht,Kandidatur,LP,WKR_NR,BereitsMdB,MdB_2021,Einzug,Prozent,erneut,TW_acc,TW_user,TW_id,TW_verif,FB_acc,FB_user,FB_id,FB_typ,FB_verif
1,5,2,SPD,"Abdi, Sanae",,Sanae,Abdi,1986,1,3,40,93,0,1,1,"27,9",0,1,_sanaeabdi,200695422,1,1,sanaeabdispd,111576226993790,1,1
2,8,4,FDP,"Abel, Valentin Christian",,"Valentin Christian",Abel,1991,2,3,12,268,0,1,2,'null',0,1,Valentin_C_Abel,1699863337,1,1,valentinabel.fdp,1586699104972808,1,1
3,8,2,SPD,"Abelein, Urs Jakob",,"Urs Jakob",Abelein,1991,2,2,NA,264,0,0,0,'null',0,0,'null','null',0,1,AbeleinUrs,102760488606572,1,1
4,3,5,"DIE LINKE","Abelmann, Jürgen",,Jürgen,Abelmann,1958,2,2,NA,33,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
5,3,4,FDP,"Abeln, Carolin",,Carolin,Abeln,1992,1,3,15,32,0,0,0,'null',0,0,'null','null',0,1,carolin.abeln.9,100067117876940,3,2
6,9,38,"Team Todenhöfer","Abou-Zaher, Jonas",,Jonas,Abou-Zaher,1995,2,1,5,NA,0,0,0,'null',0,1,JonasAbou,1153894261,2,0,'null','null',0,0
7,12,1,CDU,"Abraham, Knut Friedrich Alexander",,"Knut Friedrich Alexander",Abraham,1966,2,3,4,65,0,1,2,'null',0,0,'null','null',0,1,abraham.knut,100063764001385,1,1
8,1,26,du.,"Abramik, Paula Bianka",,"Paula Bianka",Abramik,1996,1,3,2,5,0,0,0,'null',0,0,'null','null',0,1,paulabianca.abramik,100006703356281,3,2
9,5,8,"FREIE WÄHLER","Abstoß, Christian",,Christian,Abstoß,1991,2,2,NA,99,0,0,0,'null',0,1,AbstoChristian,1393477959231680512,2,1,christianabstossfw,103579308567508,3,2
10,9,13,ÖDP,"Abt, Alexander",,Alexander,Abt,1971,2,3,5,257,0,0,0,'null',0,0,'null','null',0,1,abtoedp,990854414436457,1,2
11,5,8,"FREIE WÄHLER","Acar, Jutta",,Jutta,Acar,1958,1,2,NA,96,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
12,4,5,"DIE LINKE","Achelwilm, Doris",,Doris,Achelwilm,1976,1,3,1,55,1,0,0,'null',0,1,DorisAchelwilm,4819478705,1,1,doris.achelwilm.dielinke,130285274309507,1,1
13,5,18,MLPD,"Achenbach, Ulrich",,Ulrich,Achenbach,1954,2,1,10,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
14,5,28,dieBasis,"Achers-von Thenen, Petra",,Petra,"Achers-von Thenen",1966,1,1,13,NA,0,0,0,'null',0,1,PetraThenen,902494638010970113,2,1,pvonthenen,100000728763411,3,2
15,9,9,"Die PARTEI","Achtziger, Alina Christiane",,"Alina Christiane",Achtziger,1999,1,1,23,NA,0,0,0,'null',0,0,'null','null',0,1,Alinamimpi,100002248884959,3,2
16,7,38,"Team Todenhöfer","Ackermann, Stefan",,Stefan,Ackermann,1989,2,1,5,NA,0,0,0,'null',0,0,'null','null',0,1,stefan.puhl.75,100000532904293,3,2
17,3,5,"DIE LINKE","Adams, Swen",,Swen,Adams,1976,2,2,NA,38,0,0,0,'null',0,0,'null','null',0,1,swen.adams,100000412439332,3,2
18,5,8,"FREIE WÄHLER","Adamy, Wilfried",,Wilfried,Adamy,1963,2,2,NA,119,0,0,0,'null',0,0,'null','null',0,1,wilfried.adamy,1143456358,3,2
19,3,5,"DIE LINKE","Adler, Hans-Henning",,Hans-Henning,Adler,1949,2,2,NA,26,0,0,0,'null',0,0,'null','null',0,1,AdlerHenning,507550886302428,1,2
20,6,4,FDP,"Adler, Katja",,Katja,Adler,1974,1,3,6,176,0,1,2,'null',0,1,katjadler,712941191,2,1,katjadler,106967991184300,1,1
21,13,4,FDP,"Adler, Sebastian",,Sebastian,Adler,1984,2,3,3,15,0,0,0,'null',0,0,'null','null',0,1,sebastian.adler.hgw,102483858620763,1,2
22,7,12,PIRATEN,"Adomeit, Joachim",,Joachim,Adomeit,1977,2,1,3,NA,0,0,0,'null',0,1,salem_s_lot,789720378,2,0,'null','null',0,0
23,9,5,"DIE LINKE","Adrian, Andreas",,Andreas,Adrian,1999,2,2,NA,249,0,0,0,'null',0,0,'null','null',0,1,andreas.adrian.127,100004316465801,3,2
24,12,9,"Die PARTEI","Aechtner, Kristin",,Kristin,Aechtner,1996,1,1,7,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
25,8,6,GRÜNE,"Aeffner, Stephanie",,Stephanie,Aeffner,1976,1,3,15,279,0,1,2,'null',0,1,s_aeffner,982288614,2,1,stephanie.aeffner,666817845,3,2
26,5,11,NPD,"Aegenvoort, Manfred",,Manfred,Aegenvoort,1944,2,1,10,NA,0,0,0,'null',0,0,'null','null',0,1,manfred.aengenvoort,100007407005677,3,2
27,2,18,MLPD,"Afshari, Najia",,Najia,Afshari,1968,1,1,5,NA,0,0,0,'null',0,1,NajiaAfshari,472064685,2,0,'null','null',0,0
28,3,4,FDP,"Aggelidis, Grigorios",,Grigorios,Aggelidis,1965,2,3,28,43,1,0,0,'null',0,1,aggelidis_fdp,976107205849206784,2,1,Aggelidis.Grigorios,1318822244876982,1,1
